"Account Name","Opportunity Name","Stage","Fiscal Period","Amount","Probability (%)","Close Date","Created Date","Next Step","Lead Source","Type","Primary Contact","Account ID","Contact: Email","Contact: Title"
"Citibank Na Singapore","OCI: Compute Upgrade Proposal","Negotiate","Q1-2025","25129.80","71","1/17/2025","1/12/2025","Resolve open concerns with the CTO","Event","New Business","Felix Russell","001Hu00003XRht0","felix.russell@citibanknasingapore.com","VP of Operations"
"Johnson & Johnson Worldwide Engineering","OCI: Autonomous Database Expansion Project","Negotiate","Q1-2025","335150.68","80","1/17/2025","1/12/2025","Resolve open concerns with the CEO","Social Media","New Business","","001Hu00003XRhuX","",""
"Bank of America Technology","OCI: IaaS Adoption Initiative","Meet & Present","Q1-2025","266353.56","27","1/17/2025","1/12/2025","Hold a meeting with the Product Manager to present our solution","Social Media","New Business","Atlas Chambers","001Hu00003XRhsp","atlas.chambers@bankofamericatechnology.com","VP of Engineering"
"APPLE ,INC","OCI: IaaS Implementation","Closed Lost","Q1-2025","22600.44","5","1/17/2025","1/12/2025","Plan re-engagement strategy with the Director of Operations","Event","Expansion","","001Hu00003XRhwB","",""
"IBM / Storage (pka Sequent Computer Systems)","PaaS: Blockchain Expansion Project","Closed Lost","Q1-2025","41315.91","3","1/17/2025","1/12/2025","Analyze reasons for loss with the CEO","Referral","Renewal","","001Hu00003XRhnH","",""
"Cordis Corp., Johnson & Johnson","SaaS: Financials Upgrade Proposal","Closed Lost","Q1-2025","24380.42","0","1/17/2025","1/12/2025","Analyze reasons for loss with the Product Manager","Referral","Renewal","","001Hu00003XRhtK","",""
"Disney Cruise Line","SaaS: SCM Upgrade Proposal","Closed Lost","Q1-2025","79791.94","0","1/17/2025","1/12/2025","Analyze reasons for loss with the VP of Sales","Event","Renewal","Dylan Christian","001Hu00003XRhpM","dylan.christian@disneycruiseline.com","CFO"
"At&T Software Delivery","OCI: Networking Adoption Initiative","Closed Won","Q1-2025","20235.21","95","1/17/2025","1/12/2025","Send a thank-you note to the CEO","Event","Renewal","","001Hu00003XRhu0","",""
"AT&T IDC","SaaS: ERP Upgrade Proposal","Propose","Q1-2025","303866.62","49","1/18/2025","1/12/2025","Send a proposal to the VP of Sales","Social Media","Renewal","","001Hu00003XRhsD","",""
"Verizon Online Services","OCI: IaaS Expansion Project","Qualify","Q1-2025","8106.97","11","1/18/2025","1/12/2025","Send introduction email to the CTO","Social Media","Expansion","Delilah Owens","001Hu00003XRhpg","delilah.owens@verizononlineservices.com","VP of Engineering"
"AT&T Services, Inc. (formerly SBC Services, Inc.)","PaaS: Integration Cloud Expansion Project","Meet & Present","Q1-2025","26999.35","30","1/18/2025","1/12/2025","Discuss initial feedback with the Director of Operations","Event","Expansion","","001Hu00003XRhvG","",""
"CHEVRON CHEMICAL","OCI: IaaS Upgrade Proposal","Meet & Present","Q1-2025","458089.36","24","1/18/2025","1/12/2025","Discuss initial feedback with the CRO","Web","Expansion","Harper Ford","001Hu00003XRhtX","harper.ford@chevronchemical.com","VP of Product"
"Verizon Networkfleet","PaaS: Generative AI Upgrade Proposal","Propose","Q1-2025","41500.10","49","1/18/2025","1/12/2025","Discuss pricing options with the Director of Operations","Referral","New Business","Seth Marshall","001Hu00003XRhuC","seth.marshall@verizonnetworkfleet.com","Director of Engineering"
"Microsoft BPOS","SaaS: SCM Adoption Initiative","Qualify","Q1-2025","58161.35","7","1/18/2025","1/12/2025","Send introduction email to the CFO","Event","New Business","Evelyn Bernard","001Hu00003XRhoD","evelyn.bernard@microsoftbpos.com","CRO"
"Disney Interactive Studios Inc.","PaaS: Blockchain Adoption Initiative","Meet & Present","Q1-2025","22182.03","25","1/18/2025","1/12/2025","Hold a meeting with the VP of Sales to present our solution","Event","Renewal","","001Hu00003XRhwD","",""
"Exxon Baytown","PaaS: Analytics Cloud Adoption Initiative","Meet & Present","Q1-2025","65753.64","20","1/18/2025","1/12/2025","Demonstrate product features to the CTO","Event","New Business","Autumn Bright","001Hu00003XRhub","autumn.bright@exxonbaytown.com","Regional Director"
"Verizon Sourcing LLC for Verizon Wireless","PaaS: Integration Cloud Adoption Initiative","Propose","Q1-2025","29077.13","50","1/18/2025","1/12/2025","Review the proposal with the CEO","Web","New Business","Axel Cline","001Hu00003XRhoE","axel.cline@verizonsourcingllcforverizonwireless.com","VP of Engineering"
"Chevron Energy Solutions","OCI: IaaS Expansion Project","Propose","Q1-2025","19326.17","55","1/18/2025","1/12/2025","Discuss pricing options with the Product Manager","Event","New Business","Dylan Andrews","001Hu00003XRhqb","dylan.andrews@chevronenergysolutions.com","Senior Director"
"Chevron","OCI: Compute Upgrade Proposal","Closed Lost","Q1-2025","18776.33","4","1/18/2025","1/12/2025","Plan re-engagement strategy with the CTO","Social Media","Expansion","Lucy Bishop","001Hu00003XRhrB","lucy.bishop@chevron.com","VP of Engineering"
"Target Corporation (TTCE)","OCI: Networking Upgrade Proposal","Closed Lost","Q1-2025","85920.50","0","1/18/2025","1/12/2025","Document feedback from the CFO","Social Media","Expansion","Ivy Collins","001Hu00003XRhnR","ivy.collins@targetcorporation.com","Director of Product"
"JP Morgan Chase - Polars McCoy Center","SaaS: ERP Adoption Initiative","Closed Lost","Q1-2025","310450.15","2","1/18/2025","1/12/2025","Plan re-engagement strategy with the CEO","Referral","New Business","Madison Henry","001Hu00003XRhw7","madison.henry@jpmorganchase-polarsmccoycenter.com","Director of Product"
"Boeing SSG","PaaS: IoT Cloud Expansion Project","Closed Lost","Q1-2025","89094.58","4","1/18/2025","1/12/2025","Document feedback from the VP of Sales","Web","New Business","Isaac Wilson","001Hu00003XRhrf","isaac.wilson@boeingssg.com","CFO"
"K & W Metal Fabricators, LLC","OCI: Autonomous Database Adoption Initiative","Closed Won","Q1-2025","67751.24","99","1/18/2025","1/12/2025","Send a thank-you note to the Product Manager","Referral","Renewal","","001Hu00003XRhug","",""
"Chevron Vietnam Ltd","SaaS: Financials Implementation","Closed Won","Q1-2025","20128.23","96","1/18/2025","1/12/2025","Send a thank-you note to the CEO","Cold Call","Renewal","Madison Carter","001Hu00003XRhuA","madison.carter@chevronvietnamltd.com","Director of Sales"
"Southeastern Metals Manufacturing Company","OCI: Storage Adoption Initiative","Closed Won","Q1-2025","92404.38","97","1/18/2025","1/12/2025","Set up a kickoff meeting with the VP of Sales","Cold Call","New Business","Atlas Ramos","001Hu00003XRhtC","atlas.ramos@southeasternmetalsmanufacturingcompany.com","CTO"
"Target Corporation (TTCE)","OCI: Storage Upgrade Proposal","Negotiate","Q1-2025","53389.78","77","1/19/2025","1/12/2025","Resolve open concerns with the CFO","Cold Call","Renewal","Marcus Conrad","001Hu00003XRhnR","marcus.conrad@targetcorporation.com","Executive Director"
"CITI CARDS","OCI: IaaS Adoption Initiative","Propose","Q1-2025","318246.13","45","1/19/2025","1/12/2025","Send a proposal to the VP of Sales","Web","Renewal","Delilah Bray","001Hu00003XRhnf","delilah.bray@citicards.com","Executive Director"
"AT&T MOBILITY LAB","PaaS: IoT Cloud Adoption Initiative","Meet & Present","Q1-2025","63447.32","30","1/19/2025","1/12/2025","Demonstrate product features to the Director of Operations","Social Media","New Business","","001Hu00003XRhq3","",""
"CELLCO PARTNERSHIP DBA VERIZON","PaaS: Generative AI Expansion Project","Qualify","Q1-2025","235639.09","12","1/19/2025","1/12/2025","Gather requirements from the CEO","Web","Renewal","John Warren","001Hu00003XRhuT","john.warren@cellcopartnershipdbaverizon.com","Senior Director"
"Verizon Sourcing LLC (fka Terremark North America, Inc)","SaaS: EPM Adoption Initiative","Negotiate","Q1-2025","380553.52","74","1/19/2025","1/12/2025","Resolve open concerns with the CEO","Referral","Renewal","Asher Dixon","001Hu00003XRhsH","asher.dixon@verizonsourcingllc.com","VP of Sales"
"BANK OF AMERICAN FORK","PaaS: Blockchain Upgrade Proposal","Meet & Present","Q1-2025","19997.96","23","1/19/2025","1/12/2025","Discuss initial feedback with the CEO","Cold Call","New Business","John Owens","001Hu00003XRhuM","john.owens@bankofamericanfork.com","VP of Product"
"Amazon","SaaS: HCM Adoption Initiative","Propose","Q1-2025","14897.96","46","1/19/2025","1/12/2025","Review the proposal with the VP of Sales","Social Media","Expansion","Jasmine Chaney","001Hu00003XRhv7","jasmine.chaney@amazon.com","VP of Marketing"
"VERIZON ONLINE","SaaS: EPM Upgrade Proposal","Propose","Q1-2025","14078.52","45","1/19/2025","1/12/2025","Discuss pricing options with the CRO","Cold Call","New Business","Maya Butler","001Hu00003XRht2","maya.butler@verizononline.com","Director of Product"
"Johnson & Johnson International Inc","OCI: Networking Expansion Project","Propose","Q1-2025","16780.83","51","1/19/2025","1/12/2025","Review the proposal with the CFO","Social Media","Expansion","","001Hu00003XRhnt","",""
"IBM  Delivery Center","SaaS: CX Implementation","Propose","Q1-2025","47429.76","48","1/19/2025","1/12/2025","Discuss pricing options with the CRO","Referral","Renewal","Grace Cleveland","001Hu00003XRhqj","grace.cleveland@ibmdeliverycenter.com","Director of Engineering"
"Citigroup - Global Equities (formerly Salomon Smith Barney)","PaaS: Integration Cloud Expansion Project","Closed Lost","Q1-2025","45895.40","0","1/19/2025","1/12/2025","Analyze reasons for loss with the CTO","Web","New Business","Benjamin Ashley","001Hu00003XRhnD","benjamin.ashley@citigroup-globalequities.com","Director of Marketing"
"Target Corporation - Technology Services","SaaS: SCM Adoption Initiative","Closed Lost","Q1-2025","11541.39","0","1/19/2025","1/12/2025","Document feedback from the CEO","Web","Expansion","Alice Alvarez","001Hu00003XRhvs","alice.alvarez@targetcorporation-technologyservices.com","Senior Director"
"Comcast Cable","SaaS: CX Implementation","Closed Lost","Q1-2025","29172.20","2","1/19/2025","1/12/2025","Plan re-engagement strategy with the CEO","Referral","Expansion","Hazel Harris","001Hu00003XRhoL","hazel.harris@comcastcable.com","Director of Engineering"
"Boeing Service Corp","PaaS: Integration Cloud Expansion Project","Closed Won","Q1-2025","477365.55","98","1/19/2025","1/12/2025","Prepare onboarding materials for the CRO","Event","Expansion","Hope Gordon","001Hu00003XRhpd","hope.gordon@boeingservicecorp.com","Director of Engineering"
"AT&T Copperhead","PaaS: Generative AI Expansion Project","Negotiate","Q1-2025","96214.28","73","1/20/2025","1/12/2025","Resolve open concerns with the Product Manager","Event","New Business","","001Hu00003XRhpQ","",""
"Citigroup - Global Equities (formerly Salomon Smith Barney)","SaaS: SCM Upgrade Proposal","Negotiate","Q1-2025","422090.99","71","1/20/2025","1/12/2025","Resolve open concerns with the CEO","Web","Renewal","Victoria Battle","001Hu00003XRhnD","victoria.battle@citigroup-globalequities.com","VP of Marketing"
"CSC - Boeing Company","SaaS: CX Upgrade Proposal","Propose","Q1-2025","414161.02","54","1/20/2025","1/12/2025","Review the proposal with the Product Manager","Referral","Renewal","Chase Bradshaw","001Hu00003XRhsd","chase.bradshaw@csc-boeingcompany.com","VP of Engineering"
"Zones, Inc/Walt Disney Parks and Resorts US, I","OCI: Storage Upgrade Proposal","Propose","Q1-2025","9851.38","47","1/20/2025","1/12/2025","Send a proposal to the CEO","Event","New Business","","001Hu00003XRhvC","",""
"JOHNSON & JOHNSON PHARMACEUTICAL R&D","SaaS: CX Implementation","Qualify","Q1-2025","48634.53","8","1/20/2025","1/12/2025","Send introduction email to the CRO","Web","New Business","","001Hu00003XRhni","",""
"Johnson & Johnson International Inc","SaaS: HCM Expansion Project","Closed Lost","Q1-2025","392508.14","3","1/20/2025","1/12/2025","Document feedback from the Product Manager","Cold Call","New Business","","001Hu00003XRhnt","",""
"Comcast Cable","PaaS: Generative AI Upgrade Proposal","Closed Won","Q1-2025","16732.39","97","1/20/2025","1/12/2025","Set up a kickoff meeting with the VP of Sales","Cold Call","New Business","Felix Conley","001Hu00003XRhoL","felix.conley@comcastcable.com","Executive Director"
"Apple Occupational Medical Services LLC","OCI: Storage Upgrade Proposal","Closed Won","Q1-2025","52889.27","100","1/20/2025","1/12/2025","Prepare onboarding materials for the CFO","Referral","Expansion","Charlotte Ames","001Hu00003XRhtv","charlotte.ames@appleoccupationalmedicalservicesllc.com","CMO"
"Pfizer International LLC","OCI: Storage Adoption Initiative","Negotiate","Q1-2025","475828.98","72","1/21/2025","1/12/2025","Finalize contract details with the CFO","Web","Renewal","Jasmine Howard","001Hu00003XRhp3","jasmine.howard@pfizerinternationalllc.com","VP of Sales"
"BOEING DEFENSE & SPACE GROUP","SaaS: HCM Expansion Project","Propose","Q1-2025","99959.80","54","1/21/2025","1/12/2025","Review the proposal with the CRO","Cold Call","Renewal","","001Hu00003XRhpo","",""
"Pfizer Poultry Health Division Embrex","OCI: Networking Expansion Project","Meet & Present","Q1-2025","388381.47","30","1/21/2025","1/12/2025","Demonstrate product features to the CRO","Cold Call","Renewal","Owen Corbett","001Hu00003XRho8","owen.corbett@pfizerpoultryhealthdivisionembrex.com","Director of Sales"
"Verizon Business Network Services, Inc.","SaaS: SCM Upgrade Proposal","Meet & Present","Q1-2025","61373.93","27","1/21/2025","1/12/2025","Demonstrate product features to the CRO","Event","New Business","","001Hu00003XRhr0","",""
"Comcast Communications","PaaS: Generative AI Expansion Project","Meet & Present","Q1-2025","33568.81","25","1/21/2025","1/12/2025","Discuss initial feedback with the Product Manager","Event","New Business","Ethan Stewart","001Hu00003XRhpR","ethan.stewart@comcastcommunications.com","Executive Director"
"Citigroup NAIT","PaaS: Integration Cloud Expansion Project","Negotiate","Q1-2025","476817.44","78","1/21/2025","1/12/2025","Resolve open concerns with the Director of Operations","Web","Expansion","Evan Howard","001Hu00003XRhpN","evan.howard@citigroupnait.com","VP of Sales"
"Honeywell Intellectual Properties Inc","SaaS: ERP Adoption Initiative","Propose","Q1-2025","122079.20","50","1/21/2025","1/12/2025","Send a proposal to the VP of Sales","Cold Call","New Business","Michelle Andrews","001Hu00003XRhox","michelle.andrews@honeywellintellectualpropertiesinc.com","VP of Marketing"
"Verizon Sourcing LLC (fka Terremark North America, Inc)","SaaS: Financials Adoption Initiative","Propose","Q1-2025","95727.99","52","1/21/2025","1/12/2025","Review the proposal with the CFO","Web","Renewal","Chase Bentley","001Hu00003XRhsH","chase.bentley@verizonsourcingllc.com","VP of Operations"
"Citi Group","OCI: Networking Expansion Project","Propose","Q1-2025","187574.96","55","1/21/2025","1/12/2025","Discuss pricing options with the CTO","Web","Expansion","Axel Morales","001Hu00003XRhr7","axel.morales@citigroup.com","CTO"
"Exxon Baytown","SaaS: CX Adoption Initiative","Meet & Present","Q1-2025","24160.88","28","1/21/2025","1/12/2025","Hold a meeting with the CTO to present our solution","Referral","New Business","Noah Beck","001Hu00003XRhub","noah.beck@exxonbaytown.com","Senior Director"
"Cooley, Gb Hospital For Retarded Citizens","PaaS: Analytics Cloud Adoption Initiative","Meet & Present","Q1-2025","294373.98","25","1/21/2025","1/12/2025","Discuss initial feedback with the CRO","Event","Renewal","","001Hu00003XRhnS","",""
"AT&T SBC Forecasting","OCI: Compute Expansion Project","Negotiate","Q1-2025","74395.22","80","1/21/2025","1/12/2025","Resolve open concerns with the Product Manager","Social Media","Renewal","","001Hu00003XRhqk","",""
"IBM  Delivery Center","PaaS: Analytics Cloud Upgrade Proposal","Closed Lost","Q1-2025","99605.47","0","1/21/2025","1/12/2025","Plan re-engagement strategy with the CFO","Cold Call","New Business","Mason Morgan","001Hu00003XRhqj","mason.morgan@ibmdeliverycenter.com","CRO"
"Pfizer Global Research & Development","SaaS: EPM Implementation","Closed Lost","Q1-2025","74816.11","4","1/21/2025","1/12/2025","Document feedback from the CRO","Web","Expansion","","001Hu00003XRhod","",""
"IBM Growth Markets LLC","PaaS: Generative AI Expansion Project","Closed Won","Q1-2025","10139.97","99","1/21/2025","1/12/2025","Send a thank-you note to the CFO","Web","Expansion","Elena Battle","001Hu00003XRhtB","elena.battle@ibmgrowthmarketsllc.com","Executive Director"
"AT&T DG","PaaS: Blockchain Expansion Project","Closed Won","Q1-2025","455465.29","99","1/21/2025","1/12/2025","Prepare onboarding materials for the Director of Operations","Cold Call","Renewal","","001Hu00003XRhsc","",""
"Cooley, Gb Hospital For Retarded Citizens","OCI: Autonomous Database Adoption Initiative","Propose","Q1-2025","14838.91","54","1/22/2025","1/12/2025","Review the proposal with the CEO","Web","New Business","","001Hu00003XRhnS","",""
"Walmart International","OCI: Compute Adoption Initiative","Propose","Q1-2025","236558.38","53","1/22/2025","1/12/2025","Send a proposal to the Director of Operations","Cold Call","New Business","Lucas Wilson","001Hu00003XRhr8","lucas.wilson@walmartinternational.com","Director of Engineering"
"Verizon New York Inc","SaaS: CX Adoption Initiative","Propose","Q1-2025","257042.39","52","1/22/2025","1/12/2025","Send a proposal to the CTO","Social Media","Renewal","Oscar Wilson","001Hu00003XRhvM","oscar.wilson@verizonnewyorkinc.com","Director of Operations"
"Target Corporation - Technology Services","PaaS: Analytics Cloud Expansion Project","Qualify","Q1-2025","12635.59","7","1/22/2025","1/12/2025","Send introduction email to the VP of Sales","Event","Renewal","Jade Bird","001Hu00003XRhvs","jade.bird@targetcorporation-technologyservices.com","VP of Sales"
"VERIZON BUSINESS PURCHASING LLC","PaaS: Generative AI Expansion Project","Meet & Present","Q1-2025","59359.73","20","1/22/2025","1/12/2025","Demonstrate product features to the CFO","Cold Call","Expansion","Morgan Robinson","001Hu00003XRhqY","morgan.robinson@verizonbusinesspurchasingllc.com","VP of Sales"
"Disney Parks","PaaS: Generative AI Implementation","Negotiate","Q1-2025","48333.64","76","1/22/2025","1/12/2025","Negotiate terms with the VP of Sales","Referral","New Business","Derek Carson","001Hu00003XRhqx","derek.carson@disneyparks.com","Director of Operations"
"IBM Global Procurement","OCI: Networking Implementation","Closed Lost","Q1-2025","19135.97","3","1/22/2025","1/12/2025","Plan re-engagement strategy with the Product Manager","Referral","Renewal","Rachel Ramos","001Hu00003XRhw9","rachel.ramos@ibmglobalprocurement.com","CIO"
"The Walt Disney Company","SaaS: EPM Adoption Initiative","Closed Lost","Q1-2025","20937.70","3","1/22/2025","1/12/2025","Analyze reasons for loss with the CFO","Referral","Renewal","Clara Brown","001Hu00003XRhvB","clara.brown@thewaltdisneycompany.com","Director of Engineering"
"IBM WORLD TRADE CORPORATION","PaaS: IoT Cloud Expansion Project","Closed Lost","Q1-2025","8586.02","4","1/22/2025","1/12/2025","Plan re-engagement strategy with the CFO","Social Media","Expansion","Evelyn Bender","001Hu00003XRhqe","evelyn.bender@ibmworldtradecorporation.com","VP of Engineering"
"Pfizer Inc 185 Ph & Upjohn Kalamazoo","PaaS: IoT Cloud Implementation","Closed Won","Q1-2025","418726.38","96","1/22/2025","1/12/2025","Prepare onboarding materials for the Director of Operations","Social Media","Expansion","","001Hu00003XRhrU","",""
"Citigroup Finance One","OCI: Storage Upgrade Proposal","Closed Won","Q1-2025","70700.84","96","1/22/2025","1/12/2025","Set up a kickoff meeting with the CFO","Event","Expansion","Alice Crawford","001Hu00003XRhtx","alice.crawford@citigroupfinanceone.com","VP of Marketing"
"AT&T Gateway Drive","PaaS: Integration Cloud Expansion Project","Closed Won","Q1-2025","145965.46","100","1/22/2025","1/12/2025","Prepare onboarding materials for the Director of Operations","Social Media","Expansion","","001Hu00003XRhwE","",""
"CITIZENS MEDICAL CENTER","SaaS: CX Implementation","Propose","Q1-2025","18978.26","45","1/23/2025","1/12/2025","Discuss pricing options with the CRO","Social Media","New Business","Paisley Cain","001Hu00003XRhoy","paisley.cain@citizensmedicalcenter.com","Director of Engineering"
"AT&T Wireline Puerto Rico","OCI: IaaS Implementation","Propose","Q1-2025","27066.73","54","1/23/2025","1/12/2025","Send a proposal to the CTO","Cold Call","Expansion","","001Hu00003XRhu4","",""
"Verizon -- CCS","OCI: Autonomous Database Implementation","Qualify","Q1-2025","137026.15","8","1/23/2025","1/12/2025","Send introduction email to the CTO","Event","Expansion","Iris Richardson","001Hu00003XRhoJ","iris.richardson@verizon--ccs.com","Director of Operations"
"willy.wong@disney.com-Disney.com-362119","OCI: IaaS Adoption Initiative","Negotiate","Q1-2025","8284.27","76","1/23/2025","1/12/2025","Finalize contract details with the CRO","Cold Call","Expansion","","001Hu00003XRhwC","",""
"AT&T Midwest","SaaS: SCM Implementation","Propose","Q1-2025","11369.27","52","1/23/2025","1/12/2025","Discuss pricing options with the CTO","Referral","Expansion","","001Hu00003XRhsW","",""
"Comcast Memphis TN","PaaS: Generative AI Implementation","Negotiate","Q1-2025","63219.09","70","1/23/2025","1/12/2025","Resolve open concerns with the CEO","Event","Renewal","Autumn Cloud","001Hu00003XRhuf","autumn.cloud@comcastmemphistn.com","CEO"
"Boeing Company","OCI: Networking Implementation","Propose","Q1-2025","56479.80","55","1/23/2025","1/12/2025","Review the proposal with the CRO","Event","Renewal","Isaac Cruz","001Hu00003XRhqz","isaac.cruz@boeingcompany.com","VP of Marketing"
"AT&T TECHNOLOGIES","SaaS: SCM Adoption Initiative","Negotiate","Q1-2025","14151.02","70","1/23/2025","1/12/2025","Negotiate terms with the Product Manager","Event","Expansion","","001Hu00003XRhoY","",""
"CAPITAL CITIES ABC","OCI: Networking Implementation","Closed Lost","Q1-2025","22843.35","5","1/23/2025","1/12/2025","Plan re-engagement strategy with the VP of Sales","Cold Call","Renewal","Zoe Bradley","001Hu00003XRhps","zoe.bradley@capitalcitiesabc.com","Senior Director"
"Verizon Accounts Payable","OCI: IaaS Adoption Initiative","Closed Won","Q1-2025","14037.83","97","1/23/2025","1/12/2025","Set up a kickoff meeting with the CRO","Event","Expansion","Cooper Fox","001Hu00003XRhvn","cooper.fox@verizonaccountspayable.com","CISO"
"AT&T BOC","PaaS: IoT Cloud Expansion Project","Closed Won","Q1-2025","84340.45","96","1/23/2025","1/12/2025","Send a thank-you note to the VP of Sales","Event","Expansion","","001Hu00003XRhqr","",""
"BOEING HELICOPTERS","OCI: Compute Upgrade Proposal","Propose","Q1-2025","11168.07","53","1/24/2025","1/12/2025","Discuss pricing options with the Director of Operations","Social Media","Renewal","Evan Carson","001Hu00003XRhwL","evan.carson@boeinghelicopters.com","CISO"
"Alcona Citizens for Health","PaaS: IoT Cloud Implementation","Propose","Q1-2025","89403.47","46","1/24/2025","1/12/2025","Review the proposal with the CTO","Referral","Expansion","Zachary Johnson","001Hu00003XRhqm","zachary.johnson@alconacitizensforhealth.com","VP of Sales"
"Walt Disney International","OCI: Compute Implementation","Negotiate","Q1-2025","496232.16","73","1/24/2025","1/12/2025","Negotiate terms with the VP of Sales","Cold Call","Renewal","Simon Cash","001Hu00003XRhs8","simon.cash@waltdisneyinternational.com","VP of Sales"
"CHEVRON PHILLIPS CHEMICAL","SaaS: ERP Upgrade Proposal","Qualify","Q1-2025","79580.50","10","1/24/2025","1/12/2025","Send introduction email to the Product Manager","Event","Expansion","Blake Bland","001Hu00003XRhuv","blake.bland@chevronphillipschemical.com","VP of Engineering"
"GE Intelligent Systems","SaaS: Financials Upgrade Proposal","Meet & Present","Q1-2025","19303.43","22","1/24/2025","1/12/2025","Hold a meeting with the Director of Operations to present our solution","Event","New Business","Chloe Britt","001Hu00003XRhpV","chloe.britt@geintelligentsystems.com","CIO"
"AT&T KALEIDOSCOPE","SaaS: ERP Implementation","Closed Lost","Q1-2025","46076.39","4","1/24/2025","1/12/2025","Document feedback from the Product Manager","Cold Call","New Business","","001Hu00003XRhsf","",""
"Red Apple Group, Inc","SaaS: SCM Upgrade Proposal","Closed Lost","Q1-2025","18393.96","1","1/24/2025","1/12/2025","Plan re-engagement strategy with the CFO","Cold Call","Renewal","","001Hu00003XRhtW","",""
"Microsoft Store","OCI: Storage Adoption Initiative","Closed Lost","Q1-2025","233693.51","1","1/24/2025","1/12/2025","Analyze reasons for loss with the Product Manager","Web","Renewal","Evan Berg","001Hu00003XRhqX","evan.berg@microsoftstore.com","Regional Director"
"BOB TRESTER / PFIZER","SaaS: SCM Upgrade Proposal","Closed Lost","Q1-2025","230274.81","2","1/24/2025","1/12/2025","Analyze reasons for loss with the CTO","Referral","New Business","","001Hu00003XRhrz","",""
"Citi Group","OCI: Autonomous Database Adoption Initiative","Closed Lost","Q1-2025","378026.77","1","1/24/2025","1/12/2025","Document feedback from the CEO","Social Media","New Business","Elijah Coffey","001Hu00003XRhr7","elijah.coffey@citigroup.com","Director of Sales"
"Citigroup Information Technology Services","OCI: Compute Upgrade Proposal","Closed Won","Q1-2025","58606.14","96","1/24/2025","1/12/2025","Set up a kickoff meeting with the CRO","Web","New Business","Jane Conner","001Hu00003XRhpu","jane.conner@citigroupinformationtechnologyservices.com","CISO"
"Comcast Spotlight","PaaS: Integration Cloud Implementation","Closed Won","Q1-2025","60836.51","96","1/24/2025","1/12/2025","Set up a kickoff meeting with the CTO","Social Media","Expansion","Seth Bird","001Hu00003XRhrw","seth.bird@comcastspotlight.com","VP of Sales"
"AT&T CUSTOM USER SOLUTIONS","SaaS: HCM Implementation","Closed Won","Q1-2025","6353.47","95","1/24/2025","1/12/2025","Send a thank-you note to the Director of Operations","Event","New Business","","001Hu00003XRhwM","",""
"TARGET BRANDS INC","PaaS: Generative AI Expansion Project","Propose","Q1-2025","190180.32","45","1/25/2025","1/12/2025","Review the proposal with the Director of Operations","Social Media","New Business","Michael Beck","001Hu00003XRhr5","michael.beck@targetbrandsinc.com","VP of Marketing"
"Ethicon Endo-Surgery (Johnson & Johnson)","SaaS: ERP Adoption Initiative","Negotiate","Q1-2025","15903.72","72","1/25/2025","1/12/2025","Resolve open concerns with the VP of Sales","Cold Call","Renewal","Finn Butler","001Hu00003XRhtR","finn.butler@ethiconendo-surgery.com","Director of Marketing"
"Intel (ICCT)","PaaS: IoT Cloud Expansion Project","Meet & Present","Q1-2025","49870.52","25","1/25/2025","1/12/2025","Demonstrate product features to the Product Manager","Referral","New Business","Chris Buckley","001Hu00003XRhpF","chris.buckley@intel.com","Senior Director"
"IBM Growth Markets LLC","OCI: Storage Adoption Initiative","Qualify","Q1-2025","17250.41","11","1/25/2025","1/12/2025","Schedule an initial call with the CFO","Cold Call","New Business","Audrey Bass","001Hu00003XRhtB","audrey.bass@ibmgrowthmarketsllc.com","Director of Sales"
"Citigroup Global Markets Inc.","PaaS: IoT Cloud Upgrade Proposal","Negotiate","Q1-2025","8084.59","77","1/25/2025","1/12/2025","Negotiate terms with the CEO","Referral","Expansion","","001Hu00003XRhq2","",""
"CITIBANK N A","OCI: IaaS Adoption Initiative","Meet & Present","Q1-2025","5042.06","24","1/25/2025","1/12/2025","Discuss initial feedback with the CRO","Event","Renewal","Michael Ames","001Hu00003XRhu9","michael.ames@citibankna.com","VP of Product"
"General Motors International Holdings, Inc.","SaaS: CX Adoption Initiative","Propose","Q1-2025","37324.27","45","1/25/2025","1/12/2025","Send a proposal to the VP of Sales","Cold Call","New Business","","001Hu00003XRhsJ","",""
"Pfizer Global Research & Development","PaaS: Integration Cloud Adoption Initiative","Closed Lost","Q1-2025","13742.15","0","1/25/2025","1/12/2025","Plan re-engagement strategy with the Product Manager","Referral","Renewal","","001Hu00003XRhod","",""
"Verizon Business (Managed Services) North America","OCI: IaaS Adoption Initiative","Closed Lost","Q1-2025","12477.07","1","1/25/2025","1/12/2025","Analyze reasons for loss with the CTO","Referral","Renewal","Scarlett Henry","001Hu00003XRhpU","scarlett.henry@verizonbusinessnorthamerica.com","Executive Director"
"Microsoft Media Network","SaaS: Financials Upgrade Proposal","Closed Lost","Q1-2025","248080.03","4","1/25/2025","1/12/2025","Plan re-engagement strategy with the Product Manager","Web","Expansion","Axel Broderick","001Hu00003XRhnI","axel.broderick@microsoftmedianetwork.com","VP of Marketing"
"Goldman Sachs Bank","OCI: Autonomous Database Expansion Project","Closed Won","Q1-2025","191087.30","99","1/25/2025","1/12/2025","Prepare onboarding materials for the VP of Sales","Event","Expansion","Lily Lopez","001Hu00003XRhso","lily.lopez@goldmansachsbank.com","Senior Director"
